,antinomics_id,paradigm,tide_id
0,bkai,gpias,70047
1,bkai,gpias,70047
2,bkai,gpias,70047
3,bkai,gpias,70047
4,bkai,gpias,70047
5,bkai,gpias,70047
6,qtsq,gpias,70048
7,qtsq,gpias,70048
8,qtsq,gpias,70048
9,qtsq,gpias,70048
10,qtsq,gpias,70048
11,qtsq,gpias,70048
12,onne,gpias,70049
13,onne,gpias,70049
14,onne,gpias,70049
15,onne,gpias,70049
16,onne,gpias,70049
17,onne,gpias,70049
18,nrjq,gpias,70050
19,nrjq,gpias,70050
20,nrjq,gpias,70050
21,nrjq,gpias,70050
22,nrjq,gpias,70050
23,nrjq,gpias,70050
24,udul,gpias,70051
25,udul,gpias,70051
26,udul,gpias,70051
27,udul,gpias,70051
28,udul,gpias,70051
29,udul,gpias,70051
30,ynkf,gpias,70052
31,ynkf,gpias,70052
32,ynkf,gpias,70052
33,ynkf,gpias,70052
34,ynkf,gpias,70052
